,내용
243,포이버가 전하는 숨겨진 비밀 목화는 친환경 아니었어 업사이클링 친환경 환경오염 솜 생태계 패션업계 패션 포이버업사이클링 친환경 환경오염 솜 생태계 패션업계 패션 포이버
244,앗 목화는 친환경 소재 아니었어 의복의 주요 소재인 목화는 자연에서 얻어지지만 대량 재배를 하는 과정에서 어마어마한 환경오염과 생태계 파기를 야기한다고 해요 그렇다고 당장 멈출 순 없는 목화재배 사업 우리가 지금 할 수 있는 일에는 뭐가 있을까요 포이버와 함께 고민해 보아요 업사이클링 친환경 환경오염 솜 생태계 패션업계 패션 포이버업사이클링 친환경 환경오염 솜 생태계 패션업계 패션 포이버
245,캠핑의 이면 사진 공모전 공모기간 년 월 일 수 년 월 일 목 도착 분까지 응모 자격 참가제한 없음 응모 주제 캠핑으로 인한 환경오염 문제 불법 차박으 로 인한 피해 캠핑안전수칙 미준수로 인한 사고 등 시상 내역 대상 명 원 최우수상 명 원 장려상 명 원 응모 일정 작품 접수 월 일 목 까지 수상작 발표 월 일 월 홍성 홈페이지 발표 작품 전시 월 말 월 중순 접수 방법 이메일 접수 홍성 사업단 홈페이지 커뮤니티 공지사항 에서 신청서 다운로드후 로 신청서 접수 출품양식 첨부파일 신청서 참고 파일명 캠핑의 이면 신청자이름 파일내 신청서 부 개인정보동의서 부 원본사진 각 부 규 격 해상도 이상 파일형태 등 이미지 파일 출품제한 인당 최대 점 이내 출품가능 문의 사항 사진 공모전 담당자 이메일 본 정보의 사실 여부를 보증하지 않습니다 반드시 주최사 홈페이지의 공모요강을 확인하시기 바랍니다 공모전 대외활동 사이트 위비티 불법차박 캠핑안전 안전캠핑 캠핑의이면사진공모전 캠핑의이면 사진공모전 캠핑 공모전환경오염 차박으 캠핑안전수칙 홍성 사업단 불법차박 캠핑안전 안전캠핑 캠핑의이면사진공모전 캠핑의이면 사진공모전 캠핑 공모전
246,환경에 친절한 머지않아 바다에 물고기보다 플라스틱이 더 많아질 수 있다는 사실 알고 계신가요 플라스틱의 생태계 파괴는 심각한 환경문제 중 하나이죠 파이콜로지는 지속 가능한 환경을 위해 만들기 쉽고 저렴한 플라스틱 용기는 과감히 포기했습니다 친환경 종이 패키지를 도입함으로써 플라스틱 사용량을 이상 절감했답니다 플라스틱 용기에 비해 사용감이 편하지는 않지만 우리의 작은 불편함이 지속 가능한 환경을 만들 수 있습니다 카인드 핸드버터는 화 까지 오직 와디즈에서만 만나보실 수 있습니다
247,분리배출 과자봉지 버리기 과자봉지 어떻게 버리고 계시나요 민족이라면 딱지처럼 접어서 버리고 있지 않으신가요 ㅋㅋㅋㅋ저도 과자 먹고나면 이미 무의식으로 접고있더라고요 ㅋㅋㅋ 뼛속 까지 한국인 최근에 과자봉지를 접어서 버리면 재활용에 도움이 안된다고 하는기사를 많이 접하고 있는데 거기에 대해 팩트체크를 해준 기사가 있어서 정리해 보았습니다 비닐 봉지는 녹여서 재활용하기 때문에 봉지가 접혔는지 펴졌는지 중요하지 않다 하지만 주택가 같이 다른 종류를 한번에 배출하는 지역인 경우에는부피가 작으면 선별이 어려우므로 펼쳐서 배출하는게 좋다 태울 목적으로 만들어진 고형연료 대부분의 봉지 류는과자가루나 기름기가 조금 묻어있어도 무방하다 가장 중요한 점은 비닐봉지에 다른 재질의 쓰레기 닭발 떡볶이 국물 등 를 넣으면 안된다 최근에 과자봉지를 접지말고 씻어서 배출하라는 기사를 보고과자를 먹고나면 늘 이렇게 씻어서 말려서 배출했습니다 아주 귀찮았죠 그런데 꼭 그렇게 안해도 된다는 기사를 보고 나니쓰레기 배출에 대한 부담이 덜어진 것 같아 마음이 놓이네요 출처 팩트체크 과자봉지 딱지 접어 버리면 안 됨
248,크리스천하우스 월 프로그램 추석이 있는 햅 삐 월 월에는 왜 기획이 없었죠 라고 물어보시지만 제 느낌상 이것 저것 많이 한것 같은데 더욱 힘을 내볼께요 월에는 둘째주 넷째주 화요일 저녁 시 분에 크리스천하우스 모임이 진행됩니당 누가누가 시리즈 탄 누가누가 환경을 보호하는 사람인가 크리스천 이라면 응당 관심을 가져야 하는 환경오염 기후위기 함께 미션을 클리어하고 양말목으로 티코스터도 만들어봐요 코로나 시대 살아보니 어때 코로나 시대를 살아가는 크리스천 분들을 만나 삶과 신앙에 대한 이야기를 나눠볼까 합니다 년 가까이 함께 살고 있는 코로나 시대를 살아가는 청년들의 이야기를 나누고 기록해보고 싶어요 신청은 미리 인스타 으로 주셔도 되지만 프로그램 별 공지가 올라오니 꼼꼼하게 확인하시고 신청해주시길 부탁드립니다 첫째주는 여유있게 비워놨는데 혹시 팔로우온 사역팀이 궁금하신 분들은 디엠 미리 꼭 주시고 놀러오세요 사실 화요일 뿐만 아니라 편하실 때 놀러오고 싶으시면 누구나 환영입니다 월에 만나용 대전기독교 대전크리스천 크리스천모임 잠시서점 크리스천하우스 팔로우온 크리스천청년크리스천 환경오염 기후위기 대전기독교 대전크리스천 크리스천모임 잠시서점 크리스천하우스 팔로우온 크리스천청년
249,유행 쓰레기를 만드는 수단 환경 친화적인 옷을 구매하기 위해선 어떻게 해야 할까요 환경 옷 유행 환경오염 카드뉴스 쓰레기 기후위기환경 옷 유행 환경오염 카드뉴스 쓰레기 기후위기
250,맘글제주 뭐지 단계인데 가까운 곽지는 사람이 너무 많고 ㅠ ㅠ 멀리 협제까지 왔는데 사람 많아서 싸이드에 사람 없는 쪽에서 이든이와 마지막 여름을 보내요 너무나 슬픈 세상이에요 온도가 올라 해수면이 올라오고 사람과 동뮬 사는 경계가 없어져서 이렇게 질병이 생기구요 온실가스 중에서도 독한 메탄의 퍼센트가 공장형축산에서 만들어져요 하루 한끼 일주일 한끼라도 고기없는 식탁을 즐겨봐요 함께해요 이상기후싸우는채식 아 그 얘기가 아니었지 여기 갑오징어 새끼를 누가 잡아서 이든이 보여주셨어요 갑오징어 이든이가 게도 손으로 덥석 보셨나요 이대로 가면 년엔 바다가 죽어서 생물이 없는 바다가 될 수 있데요 이런 생물 볼 수 있는 것이 추억으로만 남지 않도록다들 노력해요아 이 얘기도 아닌데 그냥 제주라이프 이야기 하다보니 제가 요즘 엄청 관심있는 환경오염 해수면상승 이런 이야기가 저절로 나오네요 ㅎ아름답죠 협제이대로 지켜주고 싶어요 맘글리쉬 제주사랑 지구사랑맘글제주 함께해요 이상기후싸우는채식 제주라이프 환경오염 해수면상승 맘글리쉬 제주사랑 지구사랑
251,바다에서 발견되는 플라스틱의 는 육지로부터 유입됩니다 어떻게 그 많은 플라스틱이 바다로 흘러가는 걸까요 사용 후 자연에 무분별하게 버려진 플라스틱 산업 농업 생활용 은 빗물에 의해 대부분 강과 배수구를 통해 바다로 유입되며 분리수거가 되었어도 재활용이 불가능한 플라스틱은 소각 매립됩니다 그중 매립지로 이동하는 플라스틱들은 너무 가벼워 날아가는 경우가 많고 그중 일부는 빗물과 배수구를 통해 강과 바다로 유입됩니다 또한 물티슈 면봉 위생용품을 포함하여 우리가 매일 사용하는 많은 제품이 변기에 버려집니다 이 또한 배수관을 통해 바다로 유입되며 극세사 섬유는 우리가 세탁기로 옷을 세탁할 때도 수로로 방출됩니다 그것들은 너무 작아서 폐수 처리장에서 걸러지지 못하고 결국 작은 해양 생물에게 노출되며 궁극적으로 우리의 먹이 사슬에까지 영향을 미칩니다 안코바이오 플라스틱 바이오플라스틱 생분해플라스틱 해양오염 환경오염 제로웨이스트 플라스틱줄이기안코바이오 플라스틱 바이오플라스틱 생분해플라스틱 해양오염 환경오염 제로웨이스트 플라스틱줄이기
252,지구인으로서 가치있는 삶을 사는즐거움을 제공하는 기업이 있습니다 기후위기의 심각성을 감각적인 콘텐츠와 제품으로 풀어내는 소셜벤처기업 오마이어스의 이야기를웹진 호에서 만나보세요 프로필 하단 웹진 클릭 웹진림 소셜벤처허브 사회적기업 창업 오마이어스 지구 환경오염 기후변화 친환경 업사이클링 선한영향력웹진림 소셜벤처허브 사회적기업 창업 오마이어스 지구 환경오염 기후변화 친환경 업사이클링 선한영향력
253,비치클린 제주 삼양 주울 수 있는 쓰레기보다 주울 수 없는 쓰레기가 많은 날은 조금 기운이 빠진다 바위와 모래에 깊이 파묻혀서 구조물을 다 드러내야지만 꺼낼 수 있는 것들이나 온종일 주워도 줄지 않는 스티로폼 같은 것들 버리는 건 한순간이지만 다시 주워내는 데는 하루를 다 써도 끝나지 않는다 주워본 사람은 알 수 있다 무책임한 버림은 자원과 에너지 낭비뿐만이 아니라 회복을 위해 그보다 더한 시간을 바쳐야 하고 인과율 지나온 것들은 모두 씨앗이 되어 현재로 돌아온다 한림항에서 다같이 쓰레기를 줍고 바다에서 데려온 고양이를 버디님과 같이 숲에 묻어 주었다 바다에서 살았으니 숲을 보여주자는 그 마음이 너무 귀하고 고맙다 눈을 감으면 하얗게 부러진 다리뼈가 아른거린다 넘어져 까진 양쪽 무릎이 시리다 무릎이 까지는 것으로 누군가를 구할 수 있다면 무릎쯤이야 백번 천번도 줄 수 있는데 기다려주지 않는다는 것을 알면서도 나는 여전히 한발씩 늦는다 마음에 묻어야 하는 생들이 점점 늘어난다비치클린
254,씨스피라시 같이 보기바다알아가기프로젝트 인더노하우의 첫 번째는 넷플릭스 화제의 작품 씨스피라시 같이 보기입니다 바다를 좋아하는 사람 환경문제를 더 알아보고 싶은 사람 혼자서는 넷플릭스 끝까지 못보는 사람 등등 그 누구보다 바다에 대해 더 알아가고 싶은 사람들에게 알립니다 넷플릭스 화제작 씨스피라시를 채팅하며 함께 보면서 이야기 나눠봐요 신청은 댓글이나 으로 가능합니다 노하우 바다 환경오염 비건 넷플릭스 씨스피라시 씨스피라시챌린지 소통 같이의가치노하우 바다 환경오염 비건 넷플릭스 씨스피라시 씨스피라시챌린지 소통 같이의가치
255,비점오염 예방 텀블러 챌린지 간단하게 텀블러 사진 사용 게시 후 기프트콘 받아가세요 텀블러 사용으로 비점오염 예방 및 환경 오염 예방에 동참해주세요 대외활동 대외활동맞팔 대외활동선팔맞팔 공모전 공모전맞팔 공모전선팔맞팔 선팔맞팔 맞팔선팔 대학공부 전공공부 스물 비점오염 서포터즈 비점오염서포터즈 환경오염 팀활동 환경부 환경보전협회 슈퍼비점오염예방 챌린지 비염멈춰 서포터즈 기프티콘이벤트 기프티콘 챌린지대외활동 대외활동맞팔 대외활동선팔맞팔 공모전 공모전맞팔 공모전선팔맞팔 선팔맞팔 맞팔선팔 대학공부 전공공부 스물 비점오염 서포터즈 비점오염서포터즈 환경오염 팀활동 환경부 환경보전협회 슈퍼비점오염예방 비염멈춰 기프티콘이벤트 기프티콘 챌린지
256,협찬 첫줄안녕 오늘의 실험과학전집 꼬마과학뒤집기 읽고나서 진행한 실험의 주제는 환경오염 주방세제를 넣어 오염된 환경을 만들고 그냥 물을 넣은 일반적인 환경 두 가지를 만들어놓고 무씨를 올려놓은 후 일주일 뒤에 변화 살펴보기 햇볕 잘 드는 곳에 놓고 계속 두 가지 종류의 물을 부어주면서 기다리면 변화가 생기겠지 앞으로 책읽기도 과학실험도 열심히 해보자꾸나 세아이 과학전집 교과연계 교과연계전집 독후활동 환경오염 김미경대학 씨클 기 오늘도화이팅협찬 첫줄안녕 실험과학전집 꼬마과학뒤집기 세아이 과학전집 교과연계 교과연계전집 독후활동 환경오염 김미경대학 씨클 기 오늘도화이팅
257,환경 보호를 외치는 소녀가 패션잡지의 커버걸로 등장 그것도 보그 창간호 표지에 이번 월 보그 스칸디나비아판의 창간호가 발매되었는데요 기후를 위한 등교 거부 를 시작으로 세계적인 파장을 일으킨 스웨덴의 소녀 그레타툰베리 가 커버걸로 등장하여 화제가 되었습니다 화보 인터뷰에서 툰베리는 패스트패션을 비판하며 환경오염의 심각성을 강조했다고 합니다 커버 사진에서 입은 옷도 버려진 코트를 재활용하여 만든 업사이클링 코트였다고 하네요 기후와 환경 오염이 먼 이야기가 아니라는 것을 체감한 올 여름 혹독했던 폭염 때문인지 열여섯그레타기후위기에맞서다 의 주인공 그레타 툰베리의 보그 인터뷰가 더욱 의미있게 다가옵니다그레타툰베리 열여섯그레타기후위기에맞서다
258,사람은 아프면 병원에 가서 치료를 한다 지구는 병원이 없다 지구가 망가지면 두번째는 없다 언론에서 기후위기에 대한 보도가 점점 늘어나고 있다 그만큼 사람들의 인식도 달라졌을까 기후 위기 환경 오염에 대해 말하면 그럴꺼면 자연인 처럼 살아라 내 세대는 괜찮다 나 혼자 환경 신경쓴다고해서 달라지지 않는다 그렇다고 덜 사라는거냐 난 이대로가 좋다 라는 소리를 하도 들어서 환경문제에 대해서는이렇게 혼자 글로 쓰는게 대부분이다 하지만 꼭 모두가 지구에 대한 죄책감을 가졌으면 좋겠다 나 역시 당장 일회용품을 으로 줄일 순 없지만예전보다 덜 쓰고 옷도 더 덜사고 버리기 전에 더 쓸 수 있는 방법을 찾고 사기 전에 신중하려 노력한다 이 작은 노력이 모이면 분명 커지고 미래의 지구가 조금은 덜 아플 수 있다 기후 위기는 다음 세대의 문제가 지금의 문제다 기후변화 기후위기 아나바다 두번째지구는없다 환경오염 함께해요기후변화 기후위기 아나바다 두번째지구는없다 환경오염 함께해요
259,우리동네가꾸기챌린지 내유동 플로깅 쓰레기줍기 운동 우리가마시고쓰는물은어떻게가꿔야할까 공부하는마음으로임하는중이니제가모르는게많아도이해해주시면감사하겠습니다 물가꾸기 생활하수 생활하수처리 하천오염실태 하천 생활하수정화 정화기술 공릉천 한강 임진강 바다 환경오염 생태계파괴 지구온난화 하수관 하수도우리동네가꾸기챌린지 내유동 플로깅 쓰레기줍기 운동 우리가마시고쓰는물은어떻게가꿔야할까 공부하는마음으로임하는중이니제가모르는게많아도이해해주시면감사하겠습니다 물가꾸기 생활하수 생활하수처리 하천오염실태 하천 생활하수정화 정화기술 공릉천 한강 임진강 바다 환경오염 생태계파괴 지구온난화 하수관 하수도
260,짹짹이의 든든 복습코너 블루카본 다양한 생물들이 숨 쉬는 갯벌 과 바다 갯벌과 바다는 블루카본을 흡수하는 중요한 생태계예요 그래서 오늘은 한국의 갯벌이 세계유네스코에 등재되었다는 소식과 바닷속 생물을 지키기 위한 선크림 고르는 소소한 팁까지 준비했어요 블루카본을 흡수하는 생태계 소식을 통해 기후레터를 복습해보아요 더 자세한 환경용어가 알고 싶다면 구독하고 확인하러 가기 프로필 링크
261,타이블이 추구하는 의 개념은 자연환경에도 해당됩니다 현대인의 일상은 쉴 새 없이 새로운 것들을 만들어내고 버리는 악순환의 연속입니다 우리가 만들어낸 쓰레기와 먼지는 지구 곳곳으로 흩어지고 있습니다 그 대가의 종착지는 우리입니다 많은 사람이 기후변화를 막기 위해 애쓰고 있습니다 하지만 이 흐름을 막기에는 버거워 보입니다 늦었지만 타이블도 동참하려고 합니다 우리는 보다 많은 사람들이 예술을 향유할 수 있어야 한다고 생각합니다 그 작은 영향력이 모여 또 다른 바람을 일으킬 수 있도록 타이블만의 새로운 시도를 해보려고 합니다 타이블은 다음 달에도 새로운 주제로 를 선보일 예정입니다
262,자연 환경 환경오염 지구 코로나 환경보호 그림 그림스타그램자연 환경 환경오염 지구 코로나 환경보호 그림 그림스타그램
263,무더위의 절정인 월 그만큼 에어컨 사용도 빈번할 텐데요 한강의 물로 만든 수력 에너지를 가동해냉난방이 가능한 친환경 수열에너지를만들 수 있다는 사실 알고 계셨나요 오늘은 친환경 수열에너지의원리에 대해서 알아봅시다 한강유역환경청 수열에너지 물에너지 친횐경 에너지 온실가스 미세먼지 환경오염한강유역환경청 수열에너지 물에너지 친횐경 에너지 온실가스 미세먼지 환경오염
264,꽁초 깨끗한 꽁초처리 시가랩하 담뱃갑에 넣 담배꽁초 시가랩 미세플리스틱 해양오염 뉴노멀 환경오염 랩 랩퍼 시가랩캠페인 플로깅 담배꽁초수거시스템 제로웨이스트 제로웨이스트샵 쓰줍 줍깅 쓰줍인 시가랩 캠페인은 지속 가능한 담배꽁초수거시스템 의 시작입니다시가랩으로 흡연자들의 꽁초처리 습관이 바뀌면 꽁초쓰레기 문제가 멋지게 해결됩니다 사진출처 네이버카페 시가랩캠페인의 시가랩퍼 시스템타이어님 작품담배꽁초 시가랩 미세플리스틱 해양오염 뉴노멀 환경오염 랩 랩퍼 시가랩캠페인 플로깅 담배꽁초수거시스템 제로웨이스트 제로웨이스트샵 쓰줍 줍깅 쓰줍인
265,그린패키지솔루션 식스아웃 친환경 자연분해 플라스틱 환경 환경보존 필환경 좋반 지구지키기 용기내캠페인 환경지키기 환경오염 텀블러들고다니기 필환경 서포터즈 그린서포터즈 서포터즈추천 대외활동 좋반 자연분해패키지 자연분해 생분해 플라스틱대체 식스아웃 플라스틱 사라져야살아난다그린패키지솔루션 식스아웃 친환경 자연분해 플라스틱 환경 환경보존 필환경 좋반 지구지키기 용기내캠페인 환경지키기 환경오염 텀블러들고다니기 필환경 서포터즈 그린서포터즈 서포터즈추천 대외활동 좋반 자연분해패키지 자연분해 생분해 플라스틱대체 식스아웃 플라스틱 사라져야살아난다
266,쓰레기산 온라인 시위 사전리허설 함께 해주신 많은 분들께 정말 감사드립니다 이외 많은 분들 생애 처음으로 해보는 온라인 시위 떨리고 긴장됩니다 오늘 오후 시 오후 시에 지지배 유튜브 생방 미청넷 생방 에서 확인하세요 참여하실 분들은 함께 참여해주시면 감사하겠습니다 왜 쓰레기산에 대해서 알리고 뛰고 있는지 그 이유는 바로 지구가 우리의 집이기 때문입니다 쓰레기산 온라인시위 쓰레기산 쓰레기 쓰레기대란 환경운동 환경오염 비대면환경운동 환경보호 환경운동가 청년환경운동가 청년시위쓰레기산 온라인시위 쓰레기산 쓰레기 쓰레기대란 환경운동 환경오염 비대면환경운동 환경보호 환경운동가 청년환경운동가 청년시위
267,마케팅 제품 중심의 사고방식마케팅 소비자중심의 사고방식 마케팅 우리가 직면하고 있는 사회 경제 환경이 극적으로 변화하면서 생겨난 과제를 해결하는 방식우리 회사가 나아가야할 방향 가치마케팅 공유가치의기술 지속가능한발전목표 환경오염 우리 빈곤 이웃 사회적가치기준 코로나펜데믹 사회적기업 재생용지 소이잉크 재활용 이제 사회적과제 해결은 단순한 자원봉사가 아닌 경영과제다환경오염 우리 빈곤 이웃 사회적가치기준 코로나펜데믹 사회적기업 재생용지 소이잉크 재활용 이제
268,오랫만에 인스타피드올리는거같네용 저는 수산업만 여년을 종사해왔고 년전쯤 수산업에 권태기가 잠시왔었고그만둘마음은없었지만 다른것도 한번해보자 여자들이 하는일을한번해보자 하고 인셀 이라는 화장품판매를 잠시잠시해본적이있어요 제 피부가 아주아주민감해서 포항에있다가 가까운 대구를가서 세수를해도 얼굴이 바 로 뒤집어지는피부랍니다 근데 또 제가안써보고 판매를할수는 없잖아용 그래서 그때 써보았는데 피부가 정말 심각하게뒤집어졌어요 그때부터 아 로 핫해지는 상품들은특히 화장품은 걸러야겟구나 하고화장품판매 화장품은 그냥순한거쓰자 쓰던거쓰자 하는 저는 로 유명해진 화장품은 극혐했었거든요 그러다 시간이 좀지나고 인스타충인 저는 인셀 에있던분이 나오셔서 발라또라는 화장품회사에 대표로 나왔다는걸 알고 아 뭐 인셀 이랑 똑같겠지 비슷하겠지 하면서 몇일이지나고 제 주위에서 한분씩 시작하고 이건 전혀다르다하는 말들과 출범한지 몇달이되지도않았는데 대표님 아래에 수많은사람들이 따라나와 시작했다는말들 아 그래 나도 또 한번써보자 하고 써보았습니다 왜냐면 제 친한지인들은 다 아시겠지만 특히 코주위가 항상 빨갛고 거북이등껍질처럼 건선처럼 허 연 껍데기가 수분크림 수딩젤 영양크림을 발라도 단 분이지나면 다시 껍데기가올라오고 간지러워서 긁고 ㅠㅠ 사람들이 코가왜그렇냐는말을 일 회이상듣고살아왔는데 헐 왠걸 지금 일주일째 쭉 써보았는데요 가렵지도않고 뒤집어지지도않고 끈적거리지도않고 땅기지도않고 왜 발라또하는지 왜 이전까지의 문제점들을 보완하고 이 심각한 코로나사태에 마케팅에 중점을 두고 사업을시작하셨는지 알겟더라구요 저는 공부진짜싫어하거든요ㅠㅠ 중딩때수학 공부했는데 점 말다함 근데 내피부가 이렇게변하길래 하루하루 공부하며 찾아봤는데 발라또 출범시작후 첫달 억 달성 저는솔직히 첫달 아니 내나이에 그래 욕심없이 만원만 벌자 했는데 아니요 저는 이렇게 대표만 이득챙기는 회사가아닌 아 쓸까말까 아 사람들제일많이쓰는 기본라인만써보자 해서 구입하는 고객들까지 이득보게하는 발라또라는 회사에 올인해보기로했습니다 게 수산물 도 평생책임지고 판매할것입니다 하지만 이렇게 좋은 남녀노소 어린아이들까지 피부과갈필요없이 광은물론 아프게 보톡스 필러 필요없어용 그린성분에 화장품을 이 가격에 쓰기에는 영세민인 저에게도 아주 뭐든 물어보세요 못해도 상관없습니다 저처럼 즉각효과를 믿지않으면서 느껴보고싶으신분들 언제든 연락주세요 바로달려가서 보여드릴게용 동물을 너무 사랑하는 저는동물실험을 안하는 이 화장품에 한번반하고 오염된환경으로부터 피부를지키자고자 포장용기까지 신경쓴발라또에 또 한번 놀라고 화장품을 썼는데그냥 대투더박 번째사진을 보는 제지인들은 깜놀하실겁니댜 발라또 이것은 혁명 기초화장품 보라색싫어하는제가 보라색을좋아하게됐어요 게 다음으로 사랑하는 발라또 포항맘 맘스타그램 피부과 동물실험반대 환경오염 비염 시상담 묻따말 퍼플 광택 물광 보톡스 필러발라또 이것은 기초화장품 보라색싫어하는제가 게 포항맘 맘스타그램 피부과 동물실험반대 환경오염 비염 시상담 묻따말 퍼플 광택 물광 보톡스 필러
269,안녕 히로야 나 오늘 텀블러 구매했는데 글쎄 집에 갔더니 텀블러가 생각보다 많이 있는 거야 예뻐서 하나 둘 사다 보면 이렇게 된다니까 여러 개 사지 말고 하나로 열심히 써야지 있음에도 불구하고 새 텀블러 구매한 나 자신 반성 기왕 많이 생긴 거 텀블러 없는 분들한테 선물 하면서 텀블러 사용 권장 좀 하고 와야겠어 텀블러 사용으로 한 번 먹고 버려지는 플라스틱 컵 사용 불필요한 쓰레기를 줄여 보자구
270,다른맥주살까하다곰표맥주 맛나다해서 사왔는데 누구야 맛있다는사람 후루츠통조림넣은거같잖아 난 회용봉투대신 장바구니이용 광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 환경보호 환경오염 환경 일회용품줄이기 편의점나들이광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 환경보호 환경오염 환경 일회용품줄이기 편의점나들이
271,와 함께하는 에코 라이프 오늘은 비행기 탑승 회수를 줄여봐요 비행기를 한번 운행하는데 만들어지는 온실가스의 양은 정말 어마어마 합니다 지구온난화는 더 심해지고 있는 추세인데 비행기 운항 회수가 더 많아 지고 있다는 사실 우리 오늘은 비행기와 환경에 대한 문제를 생각해보는게 어때요 비행기 온실가스 탑승 회수 운행 지구온난화 기후변화 이산화탄소 지구 자연 환경 대기오염 환경오염 줄이기 자제 지구지킴이비행기 온실가스 탑승 회수 운행 지구온난화 기후변화 이산화탄소 지구 자연 환경 대기오염 환경오염 줄이기 자제 지구지킴이
272,안녕 히로야 우리들의 영원한 숙제 다이어트를 이제는 잉크도 한다고 하네 최근 들어 잉크 역시 환경에 영향을 끼치는 요소로 지적되고 있데 인쇄 과정에서 일어나는 환경 문제와 잉크로 인한 재활용 저하 등이 문제인 거지 그래서 잉크 다이어트를 하고 있다는 기업이 있어서 소개하려고 해 우리가 자주 먹는 포카칩 썬칩 초코파이의 기업 오리온이야 무려 억 원을 투자해 플렉소 설비로 포장재를 생산하고 있데 플렉소 인쇄는 기존 그라비어인쇄와 달리 양 인쇄 방식을 통해 잉크 사용량을 대폭 줄일 수 있는 방식이래 기존 포장재 인쇄에 필수적이었 유기용제 솔벤트를 사용하지 않고 무동판 인쇄가 가능해 환경보호 아니라 근로자 분들의 환경도 많이 개선 됐다고 해 경영으로 지속가능한 성장을 이뤄내는 기업들이 더 많아졌음 좋겠다 그치 사진 출처 오리온
273,여행갈까요 전시회는단순 여행기분을 느끼게하는게 아니라여행과환경에 대한 주제가 있었어요바다의 환경오염 넘 심각하고 심각한 문제죠바다에사는 생물들이미세플라스틱을 엄청 먹는다는 사실다 알구 계실꺼예요 얼마전 다큐에서두 보고와 넘심각한데 했는데 전시회와서 다시 한번 느끼게 됐네요플라스틱 사용두 줄이고분리수거두 잘하고놀러가두 쓰레기 함부로 버리지않기소소한거부터 실천해겠어요 뚝섬미술관 여행갈까요 전시회추천 아이와함께 가볼만한곳 전시회 힐링타임 하유니일상 딸그램 환경오염 자연지키기 플라스틱사용줄이기뚝섬미술관 여행갈까요 전시회추천 아이와함께 가볼만한곳 전시회 힐링타임 하유니일상 딸그램 환경오염 자연지키기 플라스틱사용줄이기
274,오호 신호등 물병 아이들과 만든 친환경물병으로힐링하기 환경오염 환경그림책 한걸음먼저과학탐구 플라스틱 친환경물병 오호 독후실험 융합독서 독후활동 독서 책 엄마표 집콕 슬기로운방학생활 링링일상기록 일상 살 살 초 예비초등 힐링 랜선독서왕선발대회 초등저학년 고유아 책육아환경오염 환경그림책 한걸음먼저과학탐구 플라스틱 친환경물병 오호 독후실험 융합독서 독후활동 독서 책 엄마표 집콕 슬기로운방학생활 링링일상기록 일상 살 살 초 예비초등 힐링 랜선독서왕선발대회 초등저학년 고유아 책육아
275,오호 마셔보기 넘넘 먹어보고 싶다고 노래노래 해서마셔보랬더니 ㅋㅋㅋㅋㅋㅋㅋ냄새부터 바다비린내 퐁퐁 결국 다 뱉었 넘 궁금해서 엄마도 도전해봤으나 퉤 환경오염 환경그림책 한걸음먼저과학탐구 플라스틱 친환경물병 오호 독후실험 융합독서 독후활동 독서 책 엄마표 집콕 슬기로운방학생활 링링일상기록 일상 살 살 초 예비초등 랜선독서왕선발대회 초등저학년 고유아 책육아환경오염 환경그림책 한걸음먼저과학탐구 플라스틱 친환경물병 오호 독후실험 융합독서 독후활동 독서 책 엄마표 집콕 슬기로운방학생활 링링일상기록 일상 살 살 초 예비초등 랜선독서왕선발대회 초등저학년 고유아 책육아
276,그린무드 활동일지 이번주는 노트북 파우치를 커스터마이징할 수 있게 이미지택 을 제작했어요 직접 한강에서 돗자리를 주우며 한강 공원을 촬영하여 업사이클링 기록을 남겼답니다 해당 이미지를 친환경종이 를 사용하여 이미지택으로 제작할 예정이에요 친환경 노트북 파우치 이름에 걸맞게 최고의 친환경종이를 찾기 위해 노력했습니다 현재 스토리로 투표중이니 많은 참여 부탁드립니다친환경종이 친환경
277,환경 융합독서 독후활동 오호 친환경 무지개 물병만들기 환경에 대한 관심이 커져가는 요즘 링링이들에게 재미와 함께 환경오염의 심각성을알려주기 위해 시작한 환경융합독후활동 쓰레기와 사라져가는 동물들에 대한 책을 읽고플라스틱을 대체할 친환경물병 를 만들어 보았다 오호 는 년 영국의 산업디자인학교 학생 명이환경을 보호 할 새로운 포장방법을 연구하다가 계란노른자를 감싸는 막에서 아이디어를 얻어 물방울 형태의 물병을 개발했다 플라스틱은 분해될때까지 년 이상이 걸리는데 오호 는 개월이면 분해완료 실제 마라톤 대회에서 사용되기도 했던 오호 는보완할 점은 많지만 환경을 위한 멋진 아이디어인듯 환경오염 환경그림책 한걸음먼저과학탐구 플라스틱 친환경물병 오호 독후실험 융합독서 독후활동 독서 책 엄마표 집콕 슬기로운방학생활 링링일상기록 일상 살 살 초 예비초등 랜선독서왕선발대회 초등저학년 고유아 책육아환경오염 환경그림책 한걸음먼저과학탐구 플라스틱 친환경물병 오호 독후실험 융합독서 독후활동 독서 책 엄마표 집콕 슬기로운방학생활 링링일상기록 일상 살 살 초 예비초등 랜선독서왕선발대회 초등저학년 고유아 책육아
