,내용
168,환경오염이라고 한마디 햇다가 존나 처맞는 중 솔까 오염 맞잖아
169,뭔 환경오염 누군가 주워서 필요한 사람한테 중고로 팔아 돈이나 벌었겠지
170,환경오염 ㅇㅈㄹ 그냥 속세와의 연을 끊으시는건 어떤지 산속에 들어가서 버섯이랑 나물 캐먹고 사세요 아 버섯이랑 나물 막 캐는것도 환경파괴인가 쩝
171,환경오염에 그렇게 예민하시다면서 옷살건 다 사고 전기 쓸건 다 쓰고 예 아가리 환경보호가 열심히하세요
172,ㅇㄴ ㄹㅇ 이해가 안가는게 잃어버리는거랑 그냥 버리는거랑 완전히 다른데 쟤내는 국어 못하나 환경오염 이러고 있네
173,환경오염 때문에 그러시는거면 코끼리똥 종이로 고소장 만드세요 ㅋㅋㅋㅋㅋ
174,분리수거 하는거 실제 영향은 코딱지만큼임 환경을 지키는 멋진 사람이 되고싶다면 고기를 그만 드시면 됩니다 고기잡이와 가축 사육 환경오염의 주범
175,언니 환경오염 멈춰
176,환경오염하지마
177,ㅋㅋㅋㅋㅋㅋ개웃겨에어팟환경오염ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
178,안되지 환경오염인데
179,지코스할때처입는줮같은옷들은코스한번하구나면사라지나보넹환경오염도안되고굿이네요굿굿굿
180,우와 에어팟 잃러버리면 환경오염시키는 거구나
181,ㅇㅇ안됨 마스크 버리지마세요 환경오염 쓰레기버리지마세요환경오염 물건 버리지마세요 환경오염
182,해원쨩니숨쉬는것도환경오염이니까죽어달라하면죽어줄거냐능
183,나이제똥싸면환경오염했다고욕먹냐 덜덜무섭다
184,ㅋㅋㅋㅋㅋ 그럼 종이 버리지 마세요 환경오염 작아진 옷 버리지 마세요 환경오염 폰 바꾸지마세요 환경오염
185,니 숨은 왜쉬는거야 그것도 환경오염인뎅 ㅠㅠ
186,물건잃어버리면환경오염ㅋㅋ 이딴개논리는누가알려주는거임 즈그애미 ㅋㅋ
187,티슈여러장 낭비하지말자 요즘세상에 환경오염 심각하니까 입술로닦아줘
188,다행이다 난 변비라 환경오염 안하겠네
189,옷 작아져서 버리는 것도 환경오염임 ㅋㅋ
190,ㅇㅇ 맞아 ㅠ 뭐 잃어버리면 환경오염이지 그치 ㅠㅠ
191,에어팟을 집에서 잃어버렸는지 학교에서 잃어버렸는지 어디서 잃어버렸는지 쟤가 어떻게 알아 저 사람 말대로라면 집에서 천원 잃어버려도 환경오염임
192,그럼 물건 잃어버림 환경오염 이라는 건 뭔 논리임
193,머리끈이나 필기구 잃어버리면 환경오염
194,그럼 지금까지 뭐 아무거나 잃어버린 사람들은 다 환경오염한건가
195,환경오염 중요하게 생각하는 사람한테 왜그렇게 오바하냐고 하는 사람 너무 싫음 이런 분야에는 좀 꽉 막힌 사람이 되면 안 되는겅미
196,익명이는 살아잇는게 환경오염인듯
197,북다닥 페잉 들어오는 익명이부터 환경오염을 위해 전기쓰지말고 폰끄고 디비자라
198,나 최근에 꾼 악몽 이 뭐냐면 나 유튜브 화질 좋게 해놓고 본다고 나보고 환경오염의 주범이라고 트위터에서 블좌 도는 꿈 꿨음
199,뺴에에에에에액 칸고쿠 하우스는 단열재가 많이 들어가서 철거하면 환경오염 심한데쑤우우우우ㅜㅜㅜ
200,방탄 팬들이 한강에 나무 천그루 심으면 뭐하노 알엠은 에어팟 개나 잃어버리고 환경오염시키는데 재미로 방탄 까는 거 아님 진심으로 화나서 그럼 씨발 나는 분리수거도 광적으로 하고 스벅 종이빨때 물에 녹아
201,바닥에 똥이랑 쓰레기 왕창 싸질러놓고 환경오염이 걱정돼요 식목일 나무 심기 운동 ㅇㅈㄹ하는거 같네
202,버리고싶은데 버리기엔 아까운거 먼지알지 근데 이걸 쓰고싶지도 않아 나 오늘도 환경오염 시켯다
203,환경오염 생각해서 핸드폰 살 때 주는 충전기랑 이어폰 없앤다는 놈들이 이어폰 구멍 없애서 기존에 잘 쓰던 이어폰들 몽땅 못 쓰게 만드는 놈들이랑 같다는게 상식적으로 말이 되나 양아치새끼들아냐 이거
204,미국은 환경오염의 주범국
205,ㅜㅜ 산드라 맨날 외식할때마다 나타샤 입이 짧아서 내가 다이어트를 못한다거 징징댈듯 나타샤가 걍 남기면 되는데 하는데도 이런거 다 환경오염이야 하면서 굳이굳이 나타샤가 깨작댄 그릇 가져와서 삭삭 긁
206,역병도 환경오염도 세계 몇 개국의 책임인데 지구 나눠 쓴 죄로 너무 가혹하다 동네 인도인 얘기를 들었는데 대 친구들 중 절반이 죽었다고 친인척은 말할 것도 없고
207,외국이긴 하지만 자주 사용되는 식기에서 플라스틱 사용 자체가 금지될 정도면 생각보다 환경오염이랑 지구온난화가 굉장히 심각한가 보네 플라스틱을 가공하는 데에 석유도 들어가고 공장도 돌아가야 하니까
208,에어팟 ㅅㅂ 환경오염 좆되네
209,년째 서울에 거주한 론리플래닛 기자 네이트 하이는 서울에 대해 이렇게 평가했죠 형편없이 반복적으로 뻗은 도로들과 구소련식 아파트 건물들 심각한 환경오염
210,아 친환경이라고 ㅋㅋㅋㅋ 그냥 돌덩이 캐는건데 무슨 환경오염이야 전기차 생산 자체가 환경오염이라고 하자 거기에 반박한 테슬라 핥는 친구들의 말
211,테슬라가 돌연 결제중단 및 일론이 비트코인의 환경오염을 욕하자 비트코인은 퍼 하락장을 맞이합니다 그리고 블랙록은 바로 억원 어치의 비트코인 채굴장 주식을 사들였습니다 비트코인 시즌 끝났다고요 블랙록
212,광주시 어린이 놀이시설 등 환경오염도 진단
213,쓸데없이 환경오염 팩트에 충실한 마비노기
214,공무원 급환경직공무원 각종 환경오염으로부터 우리 국토를 보전하는 임무
215,ㅜㅜ 산드라 맨날 외식할때마다 나타샤 입이 짧아서 내가 다이어트를 못한다거 징징댈듯 나타샤가 걍 남기면 되는데 하는데도 이런거 다 환경오염이야 하면서 굳이굳이 나타샤가 깨작댄 그릇 가져와서 삭
216,환경오염은 이 발전되면서 더 심해지지 않았을까 뭐 액체 괴물이나 짐초크 부수기나 여러가지 많잖아 팝잇도 저거 잠깐 쓰지 안쓰면 또 버리게 되는 거고 플로랄폼도 만지고 부수는 소리는 좋지만
217,서점들도 거의 엠디팔이하고 있고 그 예쁜 엠디들은 환경오염에 한부분을 차지하고
218,선량한 도사제님과 환경오염이 너무 싫어진 젠라큘라는 제로 웨이스트 쥬스 스탠드를 엽니다 ㅁ 그래도 우리 젠라큘라 정체성도 있고 도사제님 피 냄새 맡으면 힘드니까 빨간색 쥬스만 전문으로 파는 이곳은 좌석은
219,여기는ㅠㅠㅠㅠㅠㅠ조용하네ㅠㅠㅠㅠㅠㅠ 눈물 쥬르륵 흘려요 원래 밤하늘에 환경오염때문에 아무것도 안 보이는데 소행성 무더기로 지구로 떨어지면서 별처럼 빛나면 쇼요가 켄마 우리 같이 별똥별에 소원
220,브러쉬 닳으면 걍 플라스틱 쓰레기잖아 이 걸어다니는 환경오염새끼들
221,구마의식하러 다니다 이러쿵저러쿵한 사연으로 드라큘라의 저주를 받아 정기적으로 피가 필요한 사제 도 흡혈은 비윤리적이라 절대 안 함ㅜ 랑 오랜 세월의 모진 풍파를 겪으며 마늘 십자가 은 말뚝 햇볕 그
222,전 포스터는 분리수거 했는데 씨디가 분리수거 나누기가 힘들어서 피곤하네요ㅠ 박스째 박혀 있어요 진짜 환경오염 맞는것 같아요ㅠㅜ
223,태백시 환경오염물질배출사업장 지도 점검 결과 공개
224,마스크를 턱에 쓸 거면 환경오염 되게 왜 꼈냐
225,이시대 최고의 환경오염 건축학과
226,슬라임들 아무래도 환경오염 심한 장난감이라는 의식이 강하니까 실제로도 좀 그렇구 마켓에서 일부러 말려서 폐기하는 법 다 알려주고 친환경포장재 쓰는 곳이 많다 슬라임 유튜버들도 그걸 의식해서 폐기절차나 패
227,최근 갑자기 떠오른 생각 긴 머리 묶는 머리끈도 환경오염에 일조하겠네
228,요즘 데이터가 너무 많아도 환경오염이라고도 하지 요즘은 정보들이 정말 터져 나갈정도로 많아서 피곤한 것 같아 이런 기상이변도 결국 다 그런 탄소 배출에서 나오는건데 말이야 같이 고개를 저어준다
229,플라스틱 사용을 줄일 수 있는 방법은 탈플라스틱 환경오염 예방 대책 고고챌린지 용기내챌린지 코로나 배달앱 비닐 플라스틱 자세히보기
230,오마이갓리틀환경오염주범이즈히얼
231,님들아 나 지난번에 학원에 티 입고 갔다가 학원 쌤이 존나 면박 줌 어떻게 그런 티를 입을 수 있냐고 그런지 때문에 메탈이 죽은 거래 자기는 그래서 펄잼도 너바나도 너무너무 싫다는 거야
232,그녀의 세계는 전쟁이었다 그녀의 세계는 종교적 맹신이었다 그녀의 세계는 맹목적인 테러였다 그녀의 세계는 끊임없는 환경오염이었다 그녀의 세계는 인구 과잉이었다 그녀의 세계는 가난과 기아와 빈곤이었다 파피용
233,근데 확실히 앨범만 주구장창 사면 환경오염도 될 것 같아서 한 번 이상 구매한 이용자면 추가금을 내거나 가격을 빼서 포카나 일부 구성품만 따로 구매할 수 있게 해주면 좋겠다
234,커피 한 잔이 남긴 커피박 그 놀라운 변화 커피박 커피박퇴비 커피찌꺼기 퇴비 환경오염 김종훈 기자
235,아로마티카 알코올 소독제 주문했다 예전엔 소독제 묻혀있는 물티슈 쓰다가 그것도 환경오염의 원인이래서 행주 맨날 퐁퐁 삶아서 빨아서 쓰다가 그것도 좀 모자란거같아서 새니타이저 주문 이것도 직업병인듯
236,필요한 물건을 만들 때는 머리카락의 끝자락을 변환시키니까 감을 필요까진 없지만 변화시키는 것으로 보이는 앞쪽으로 늘어뜨린 머리카락을 집으며 말했다 호숫물에 씻는 것도
237,다들 그랬구나 나도 쌩신입 초반에는 커피안마신다고 말도 못했음 말해도 엥 사주면 걍 먹어 이럼 이게 얼마나 어이없는 자원낭비고 환경오염인지 아랫사람들한테 커피 좋아해 한마디만 물어봐주면
238,파주시 환경오염물질 배출사업장 지도 점검 실시 파주시는 쾌적한 생활환경을 조성하기 위해 오는 일부터 추석 전까지 환경오염물질 배출사업장에 대한 지도 점검을 실시한다 시는 무허가 미신고 배출시설 설치
239,칭찬받고싶은데 딱히 잘한게 없는것 같아요 그럼 아무거나 말해봐요 나 오늘 밥 꼭꼭 잘 씹어서 안남기고 먹었어 뭐 그런거라도요 편식 안한게 왜 칭찬받을일이 아니예요 세계적으로 심각한 환경오염을 줄이
240,페미니즘 환경오염 재난영화
241,그쳐 ㅠㅠㅠ 역시 재정이는 웃을 때가 제일제일 이뻐요 ㅜ 재정이가 웃어야 나라가 밝아지고 세상이 밝아져서 대충 환경오염도 줄고 모두가 행복해져요 ㅠ
242,벤지쿵야가 이렇게 허허실실 웃다가 나중에 우잉이라는 극악무도한 환경오염의 주범을 탄생시킨 거 안 믿김
243,저런 사람들 숨쉬는거 지구한테 사과해야함ㅜ 환경오염의 주범이라 미안해 삼창
244,각 지방 중공업단지에서 산재와 환경오염을 당하면서 올려보내는 외화로 풍요가 넘치는 서울 높은 빌딩에 둘러싸여 있는 낭만적인 대학교 캠퍼스에서 인문학 한다고 하는 문과 사람들은 정작 사회 돌아가는 구조 입에 밥넣어주는 구조
245,구제옷만 년째 사고있는 여성의팁 환경오염때문에 싸레기가 넘쳐나는지금 구제옷사는건 진짜 잘하는겁니다 개쓰레기잡유머에넘어가지말구 신조를 지켜주세요 만약 사고난뒤 가위에 눌린다면 침대밑에 가위나 칼을 두면 가위에
246,환경오염 에코라이프 시작 불쌍한 오리
247,맞아요 환경오염 심하다고 들었어요 전 취향 아니라서 안먹지만 더더 안먹게 되더라구요
248,기후정의를 말하다 기후변화 와 인종차별 은 맞닿은 문제 비즈트리뷴 마이크로소프트 측에 따르면 환경 불평등과 인종차별 간의 연관성은 세기에 일어난 환경오염 사례
249,마자요 타이밍이더리구요 환경오염보다는 좋아하는 사람한테 가는게 낫죠
250,겜스토리나애니나웹툰이나 영화나드라마나 질병이나 환경오염이나 암튼 이런저런 모종의이유로아포칼립스세계관된 파국스토리가 당기는구나
251,결국 싹다 버렸습니다 환경오염 하고 말았어요
252,포카라도 팔아야 돈이라도 남지 그냥 결국 종이 쓰레기만 남음 환경오염보다는 용돈벌이 하세요
253,환경오염 야구
254,환경오염 기후변화 지구온난화의 근본적인 문제는 법을 똑바로 만들지 않았고 법을 똑바로 집행하지 않았기 때문이라고 못 박는다 결과적으로 인간세상의 문제를 인간세상에서 제대로 컨트롤 못 했기
255,바다에 술뿌리ㅕㄴ 환경오염 어닌가요
256,씹쌉못생긴 굿즈를 만들어서 환경오염에 기여하는 기업
257,환경오염
258,아 새만금 국제공항 반대 환경오염 종 보존 플래카드 만들어서 내건거 정의당이었구나 ㅋ
259,웹진림 소셜벤처허브 사회적기업 창업 오마이어스 지구 환경오염 기후변화 친환경 업사이클링 선한영향력
260,지구본 입니다 불타오릅니다 환경오염은 나쁜겁니다
261,오늘도 시원하게 환경오염
262,탈북자들의 증언에 따르면 지금 북한에서는 프랑스 쓰레기를 수입해서 각 가정에서 이 쓰레기를 연료나 화목을 대신해서 태워 쓴다고 합니다 그래서 북한에서는 이 태운 쓰레기에서 나는 연기가 그대로 공중에 뿌려져
263,꽊꽊 안모여 사니까 건물도 다 대체로 낮음 엘베도 많이 필요없음 아시아에 있는 공장들 주인 구미권 백인 오너 그런데 환경오염 발표하면서 동남아 수질오염 베이징 스모그 사진이런거 가져오면 이러면 쪼끔 꼴 받을 수
264,아시발환경오염물부족이지랄 당신이 오늘 커피를 리터 마셧어용 네 커피나무 키울때 물이 얼마나 필요한데요 아싀발어쩌란거임 출근하는데 옷입었다고 옷입을땨 만든 물 이러네 개빡침
265,커피 한 잔이 남긴 커피박 그 놀라운 변화 커피박 환경오염 퇴비 커피박퇴비 커피찌꺼기 김종훈 기자
266,환경오염만 시키는 쓰레기
267,잇 머스트비 뻔 잇 머스트비 쿨 잇 머스트비 쎅씨 투 마지막에 이라 한 사람이 말한건데 놀랍게도 환경오염 대처를 어떻게 해야하는가에 대한 이야기임 환경오염을 섹시하게 대처한다는게 무슨 의미냐는
268,이 커피박을 주목해야 하는 이유는 환경오염의 주범인 플라스틱만큼 중요하다 땅에 버려진 커피박이 메테인 이라는 온실가스를 뿜어내고 있기 때문이다 메테인은 이산화탄소지수 로 이산화탄소의 배에
269,코팅종이쓰는건 환경오염 아니냐 빽빽 ㅇㅈㄹ 났는데 코팅종이는 재활용이 된다고요 이 사람들아 듣고 있냐 재활용 된다고 우유팩도 코팅되어있는데 왜 재활용
270,물복 먹음 잠깐 한눈판 사이에 팔목 타고 팔꿈치까지 줄줄 흐름 휴지로 닦음 끈적끈적해서 휴지로 닦아도 짜증남 결국 물티슈까지 가져옴 물티슈 낭비 환경오염 지구 망가짐
271,테슬라가 돌연 결제중단 및 일론이 비트코인의 환경오염을 욕하자 비트코인은 퍼 하락장을 맞이합니다 그리고 블랙록은 바로 억원 어치의 비트코인 채굴장 주식을 사들였습니다 비트코인 시즌 끝났다고요
272,토닥토닥 두드려주는 당신의 손길을 느끼며 속을 게워낸다 구웨엑 자체검열 그렇게 잠시동안 있은 뒤 입을 손으로 슥 닦고 당신을 바라본다 으 감사드립니다 정말 하
273,정구기는 이틀동안 머리를 감지 않았고 석지니는 오늘 아침에 감았으며 환경오염을 생각해서 일 동안 감지 않았던 기록을 가지고 있다
274,그런데 노기호 죽었죠 귀신은 환경오염안시켜서 사랑하게될지도 모르겠네요 나는 이런게좋다
275,환경오염 방치했다간 뭔 결과가 나올지 몰라서 늘 하던대로 안전한 선택을 담에는 세번째까지 가봐야지
276,환경오염에 대한 넷뿌릭스를 시청함으로서 넷뿌릭스 서버를 유지하는데 환경오염을 일으키기
277,어획이 환경오염에 심각하다구 합니다
278,아니 갑자기 생각났는데 사담임 요즘 환경오염이 넘 심해서 채식을 생각중이었단말임 완전 비건은 못하고 고기를 좀 줄여보자는 생각으로 근데 생각보다 내가 고기를 넘 조아하더라구 그리고 고기를 생각보다
279,두라마에서도 환경오염시키네
280,기후정의를 말하다 기후변화 와 인종차별 은 맞닿은 문제 비즈트리뷴 마이크로소프트 측에 따르면 환경 불평등과 인종차별 간의 연관성은 세기에 일어난 환경오염
281,가라르의 단 한명의 오메가인 금량 환경오염이나 여러 문제로인해 알파나 오메가 수가 점점 줄고 오메가는 찾아볼 수도 없게된 가라르 근데 너클짐 지하에 있는 ㅁㅎㄷㅇㄴ 때문에 거기서 근무하던 금량 유전자 점점 바뀌고 그날도
282,아 씨발스트레스받아그림그릴시간이업떠 진짜잡으면무환동력베터리마냥쓰레기같은거막생성해낼텐데 환경오염의주범이나일텐데
283,독기품은 약초묘사보고 으 환경오염 했는데 저주에 쓰는구나 납득해버림
284,이런 얘기를 왜하나면 환경오염이 넘 걱정됌 한번 싸고 버리는 비닐 생각하니 좀 맴이 아파서요 근데 제품 자체를 감싸고 있어야 기스도 덜나고 구매자 입장으로서는 만족감이 더 높은 것도 사실이라 궁금해서 묻고싶었다 그렇습니다
285,나도 환경오염을 생각해서 일 안감은 적 잇음
286,환경오염을 생각해서 머리를 안 감는다는 김석진과 땀이 장남아니고 하루에 두번 샤워하는 김남준
287,나 석진이 머리 안감는 거 변명으로 환경오염 얘기하는 거 나랑 개똑가태 맨날 친구한테 넌 북극곰 생각 안해 ㅇㅈㄹ
288,맞지맞지 환경오염 심각해지지
289,꽊꽊 안모여 사니까 건물도 다 대체로 낮음 엘베도 많이 필요없음 아시아에 있는 공장들 주인 구미권 백인 오너 그런데 환경오염 발표하면서 동남아 수질오염 베이징 스모그 사진이런거 가져오면 이러면 쪼끔 꼴 받을 수 밖에 없죠
290,모든 남자아이돌 옷장과 협찬에서 비니와 벙거지를 없애주세요 환경오염입니다 지구야미안해
291,쓰레기를 버리지말자는 주장에 환경오염과 환경미화원의 노고를 생각하면 옳은비판이었다고 논쟁을 종료하자는 사람들이 아니라 그걸 쓰레기를 버린 나에대한 공격으로 간주하고 불쾌감을 느낀 사람들이 쓰레기를 버릴 권
292,환경오염때문에 온거면 환경주제도꺼낼수잇어요
293,그래서 쓰레기를 무단투기하지 말라는 주장이 타집단에서 나오면 그게 옳다고 동의하는게 아니라 쓰레기를 무단투기해서 그걸 지적당한 자신들의 불쾌감을 우선시하며 쓰레기를 버릴 권리를 주장하며 자신이 논쟁 아니
294,공룡행성에서 왜왓어요 환경오염때문인가요
295,내가 매번 꿈꾸면 저런 미래사회 나오는데 전국팔도가 테마파크처럼 돼서 고속도로를 타면 돈을 내는게 아니라 내리면 그지역 입장권을 끊어야 돼 부도난 건물이 즐비한 테마도시도 있고 환경오염 테마도시도 있음 침수된 도시도 있고
296,현장포커스 인천 대무의로 농지성토 공사장 관리 감독 절실 인천 대무의로 일대 유수지 앞 농지성토 공사 현장의 환경오염 방치에 대해 인근 주민들이 행정기관
297,지구 이대로 괜찮은건가 전세계에 역병에 화재에 시위에 환경오염에 난리가아닌데
298,교수님이 원하는 답은 환경오염을 줄이기 위해서 였는데
299,그렇네 고기먹으면 환경오염
300,걍 포카만 팔아라 환경오염이에
301,썩다못해 환경오염까지 ㄷㄷ
302,살의 나 다이치 하 왜 인생아 있을까 사람이 있을까 인간이 없으면 환경오염도 안될텐데 한숨 아놔 중 병 오진다
303,배양육 동물애호 비건 축산업에서 발생하던 환경오염과 동물윤리 문제 해결될 수 있을까요
304,저도 사본 적은 없지만 기름값 쫌 싼 거 외에는 장점은 없는 것 같아요 소음과 승차감때문에 사시면 후회하실 듯요 특별한 목적이 있으면 모를까 환경오염도 그렇고 전 비추입니다
305,저런 하수구 음식물쓰레기 처리기 쓰면 안됌 환경오염 다른집 하수구 막혀서 민폐오지게 줌 그리고 불법임
306,뭐 그런데 결국 로켓 발사장이란게 말 그대로 환경오염의 극치라 환경 반대론자들에게 이야기 될 수 밖에 없는 지점은 있다 봅니다
307,비닐라벨이 전체에서 위쪽으로만 붙어져서 환경오염이 덜해요 가 한국어발음 라이트 로 재탄생했어요 블랙보리 글씨체가 바뀌었어요 라벨이 바뀌면서 하이트진로가 가운데
308,아 삶 취준 인생 미래 그런 거 모르겟고 어제는 배수아 푸른 사과가 있는 국도 읽따가 어라라 누가 내인생 스포일러를 해놧네 싶어서 굳이 내가 삶을 한번 더 살 필요가 잇을까 일종의 환경오염을 실천하는 것이 아닌가 그런 생각을
309,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ말만 상냥할 것 같은 ㅋㅌㅋㅌㅋ 당신이 하는 짓은 환경오염이에요
310,환경오염시키면 브룽이라 아파요 바다에 쓰레기를 버리지 마세요
311,완전 완전 타래 다 읽어봤는데 진짜 너무 갓커에요 환경오염에 대한 메시지를 커뮤에 녹아든게 너무 멋있어요
312,시발날투디세카이로보내주ㅏ 그럼적어도거기엔환경오염이없지않을까 환경오염이 걱정된다면 우에키의법칙에 들어가서 우에키를 환경운동가로 키워내기
313,집에 장난감 개잇는데 어떻게 모든게 싫은거니 얘들아 환경오염 그만하고싶어 죽여줘
314,환경오염 오타쿠
315,코덕 맴찢영상 왜 어ㅐ 만드는거임 볼때마다 환경오염밖에 생각 안나
316,그렇죠 저도 옛날에는 그런 환경오염 포스터를 그리기도 했는데 딱히 미술에 재능이 있던 건 아니라서 상은 타지 못했지만 말입니다 먼 하늘을 바라보며 작게 웃고는 그렇겠죠
317,그건 환경오염이 아닐까요
318,그새끼들이 재활용하는게 환경오염 막는데 제일 효과적
319,지구가 의지를가지고 환경오염시키는 나라를 조진다면 순위 순위는어딜까
320,비닐라벨이 전체에서 위쪽으로만 붙어져서 환경오염이 덜해요 가 한국어발음 라이트 로 재탄생했어요 블랙보리 글씨체가 바뀌었어요 라벨이 바뀌면서 하이트진로가
321,환경오염 이야기도 그렇고 사람이 더 태어나봐야 좋은 거 없다 싶고 뭐 이런 이야기 하면 이상한 눈초리 하는 사람 많을듯하지만ㅋㅋ 애기 있는 분은 계속 애기 자랑하고 진짜 관심 도
322,세계 제 경제 대국임에도 불구하고 미국 서민들은 왜 점점 가난해지는가 그 세금 다 어디로간거 자유 민주주의 정의의 이름으로 전쟁무기 마음껏 사막에 뿌리면서 누구 배불려준거 지구 환경오염 어쩔 양쪽 악행
323,여기에 각종 환경오염으로 인한 기후위기까지 디스토피아가 가까워 지는건가 싶어요 ㅠㅠ
324,왜 내가 해피밀 시킬 때는 환경오염에 한숟 얹었다는 마음의 죄책감만 들게하더니
325,남한에도 우라늄 매장량이 경제성있을 것으로 예상되어 광산개발 추진된 지역이 여럿 있지만 지방정부가 환경오염등을 우려해 금지한 상태
326,세계 제 경제 대국임에도 불구하고 미국 서민들은 왜 점점 가난해지는가 그 세금 다 어디로간거 자유 민주주의 정의의 이름으로 전쟁무기 마음껏 사막에 뿌리면서 누구 배불려준거 지구 환경오염 어쩔
327,아 환경오염 지금당장쓰레기주으러겟아웃
328,텀블러 선물이 여기저기서 너무 많이 들어온다 환경보호를 위해서 텀블러를 쓰라지만 인장 텀블러 개 이상이면 환경오염에 더 가까운 거 아닌지
329,퍼스프로 웃긴캡쳐 타래로이어봅니다 영광의 짤은 환경오염으로
330,나갑지기겸뱀이넘좋은걸 범죄자아기 이 문제아들이 저지르는일 길고양이들과 환경오염 대책 회의 설빙 가서 떡볶이 주문하기 인형뽑기에 만원쓰기 주유소에서 인스타사진찍기
331,수제장인정신의계승으로지구환경오염과재활용장신구적극사용하기를같이소통과협력해보기를바랍니다
332,헐나도가리비자살했다는줄알고 환경오염문제가심각하구나 하면서 주의깊게바라보니까 깔끔하게 손질된 가리비 관자살이었음
333,씨스피라시 재밌다 환경오염은 어업의 쓰레기와 남획 때문임 근데 환경사업이 돈이 되니까 쉬쉬하는 거지 겨우 플라스틱 빨대 때문이라면서 애초에 어업이 사라지면 일자리가 없으니까 근본적 해결방안
334,이딴걸 만든새끼나 돈받고 파는새끼나 돈주고 사는새끼나 대가리에 뭐가처들은거야 씨발 다이어트를 할것같으면 콜라를 처 마시질 말던가 제로콜라를 마시던가 소용량 마실거면 캔콜라는 장식인가 벌레같은새끼들 환경오염주범이여
335,탄소 배출과 환경오염 자원 고갈에 대한 비용이 경제성장 지표엔 계산되지 않는다 행복 사랑 아이와 엄마와의 밀착 관계 걸어다닐 수 있는 동네 시간의 흔적이 묻은 건축물 신뢰 용서 서비스를 잘 해주는 단골 가게 주인의 가치도 말이다
336,알파고 있는데 왜 환경오염 시키면서 숨 쉬어 당장 죽어
337,더위로 인해 해수온도가 올라 물고기들이 폐사한다 정상적인 해결법 해수온상승 등 이상기후의 원인이 되는 환경오염을 막는다 인간들의 해결법 고수온 버틸 수 있는 품종을 개발한다 와 인간들 너무
338,환경오염을 안시키려면 자살 이 가장 빠르겠습니다만 실제로 이걸 바라시진 않겠고 해결을 해야겠죠 다들 저렇게 비판해도 당일 새벽배송 없으면 화낼분들 많고
339,지인이 마녀캐 짜줬다 신나서 허버허버 그림 강을 사랑하는 마녀 환경오염때문에 요즘은 성격 더 더러워졌다고 합니다 춋또 마녀쿤
340,나 대통령되면 릴스랑틱톡없애고 인스타 유머계정 다터트려줌 먹방한답시고 환경오염 존나하는거 사형 ㄴ중국이랑다를게뭔가요
341,신고지라 자체도 고지라 대 헤도라에 대한 오마주가 들어가 있죠 고지라의 핵 은유를 환경오염 으로 전유하고자 시도한 게 고지라 대 헤도라였는데 이걸 다시 원자력으로 인한 재난 으로 전유를 시도한 게 신고지라니까요
342,아니 미장원 온세상 무스랑 스프레이 팡 머리에 쏟아부었냐구여 환경오염의 주범이 여기있었네
343,마이바니가 환경오염의 주범이었다니
344,마치 길가에 담배꽁초를 버린 사람한테 가서 지금 니가 하는 행위가 환경오염을 일으킨다는 점에서 핵발전소를 폭파시켜 방사능을 유출시키는 테러범이랑 뭐가 다르냐 고 고래고래 소리지르는 느낌입니다
345,야이씨발색히들아 차 타지말고 버스나 타 이 환경오염의 주범자들아 좆같은색히들아
346,이메일 삭제했을때 환경오염에 도움된다는 말을 혐오 하는편
347,이제 정치트윗은 안할려하지만 이 얘기는 마지막으로 꼭하고싶어요 뭐만 하면 환경오염탓하는데 어떤 논리로 저러는지 모르겠어요 또 싸드들고와서 전자파가 인체에 유효하다하면서 떠드는 것을 상상
348,오늘날 우리에게 일용할 전기차를 주옵시고 우리에게 내연기관차를 사하여 준 것
349,불태우는것도 환경오염이야
350,남대표고 환경오염이고 다 떠나서 떠날수없다는걸알지만 애초에 브라를 월마다 하나씩 받을 이유가 있나요 필요한 제품을 필요한 때에 구매하면 되지 않나요
351,가족도 환경오염이라 그랬는데 감동이에요
352,지구는 미래 기준으로 먼 과거에 지속되는 환경오염으로 인해 버려져 지구에서 멀리있는 행성인 코드 로 이주하였고 저희는 이곳을 코드육사라 부릅니다 정리하자면 현재 이 지구는 버려
353,환경오염이 걱정이면 불필요한 낭비는 환경을 오염시킨다 에 핀트를 맞추고 왜 남자가 여자 속옷을 파냐 라고 뭐라 하고싶으면 그냥 그런거지뭐 무작정 욕하기엔 사람은 살아있는 자체가 환경오염임 내가 보는
354,근데 화장 다시 하고싶을때도 있는데 화장품 너무 비싸 ㅋㅋㅋㅋ 그래서 진짜 안하게 됨 ㅋㅋㅋㅋ 화장하면 지우는데도 환경오염이잖아 그래서 더더욱 안하게됨
355,용암에 사람이 들어가면 태우거나 매립하는 것보다 환경오염이 안되지 않을까 걍 사라지지 않음 용암은 몇명까지 커버 가능할까
356,진짜 그냥 뭐 복권같은걸로 하면 안되나 우리 너무 환경오염 주범 아니냐구
357,승차호출 기술 발달로 아끼게 된 에너지나 감소된 환경오염도 상당하지 않을까 아니면 걍 콜은 콜대로 키고 옛날과 다를바앚ㅅ이 정처없이 돌아다니는건가
